hgnc_id	symbol	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_group	gene_group_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	ensembl_gene_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	mgd_id	rgd_id	lsdb	cosmic	omim_id	mirbase	homeodb	snornabase	bioparadigms_slc	orphanet	pseudogene.org	horde_id	merops	imgt	iuphar	kznf_gene_catalog	mamit-trnadb	cd	lncrnadb	enzyme_id	intermediate_filament_db	rna_central_id	lncipedia	gtrnadb	agr	mane_select	gencc
HGNC:32037	AADACL3	arylacetamide deacetylase like 3	protein-coding gene	gene with protein product	Approved	1p36.21	01p36.21	OTTHUMG00000001887				Arylacetamide deacetylase family	465	2006-06-30		2016-05-26	2023-03-15	126767	ENSG00000188984	OTTHUMG00000001887	uc057ckc.1		NM_001103170	CCDS41253	Q5VUY0		MGI:2685281	RGD:1563257																							HGNC:32037	"ENST00000359318.8|NM_001103170.3"	
HGNC:32038	AADACL4	arylacetamide deacetylase like 4	protein-coding gene	gene with protein product	Approved	1p36.21	01p36.21	OTTHUMG00000001889				Arylacetamide deacetylase family	465	2006-06-30		2016-05-26	2023-01-20	343066	ENSG00000204518	OTTHUMG00000001889	uc001auf.3		NM_001013630	CCDS30590	Q5VUY2		"MGI:2685282|MGI:2685284|MGI:2685880|MGI:3650257|MGI:3650721|MGI:3652194"	RGD:1565761																							HGNC:32038	"ENST00000376221.2|NM_001013630.2"	
HGNC:50305	AADACP1	arylacetamide deacetylase pseudogene 1	pseudogene	pseudogene	Approved	3q25.1	03q25.1							2014-04-07			2016-08-22	201651	ENSG00000240602	OTTHUMG00000159879			NR_026915														PGOHUM00000299631														HGNC:50305		
HGNC:17929	AADAT	aminoadipate aminotransferase	protein-coding gene	gene with protein product	Approved	4q33	04q33	"KATII|KAT2|KYAT2"	"kynurenine aminotransferase II|L kynurenine/alpha aminoadipate aminotransferase"			Transaminases	3517	2002-01-16			2023-01-20	51166	ENSG00000109576	OTTHUMG00000160912	uc032udw.1	AF097994	NM_016228	"CCDS3814|CCDS75209"	Q8N5Z0	"12126930|10441733|18056995"	MGI:1345167	RGD:2948			611754															"2.6.1.39|2.6.1.7"					HGNC:17929	"ENST00000337664.9|NM_016228.4"	
HGNC:25662	AAGAB	alpha and gamma adaptin binding protein	protein-coding gene	gene with protein product	Approved	15q23	15q23	"FLJ11506|p34"						2009-07-20		2017-06-13	2023-01-20	79719	ENSG00000103591	OTTHUMG00000172246	uc002aqk.6	AL136715	NM_024666	"CCDS42050|CCDS61679"	Q6PD74	"11230166|10477754"	MGI:1914189	RGD:621601			614888					317366															HGNC:25662	"ENST00000261880.10|NM_024666.5"	HGNC:25662
HGNC:19679	AAK1	AP2 associated kinase 1	protein-coding gene	gene with protein product	Approved	2p13.3	02p13.3	"KIAA1048|DKFZp686K16132"				Small nucleolar RNA protein coding host genes	1835	2003-07-21			2023-01-20	22848	ENSG00000115977	OTTHUMG00000129648	uc002sfp.3	AB028971	NM_014911	CCDS1893	Q2M2I8	"11877461|12471243"	MGI:1098687	RGD:1305520			616405																				HGNC:19679	"ENST00000409085.9|NM_014911.5"	
HGNC:30205	AAMDC	adipogenesis associated Mth938 domain containing	protein-coding gene	gene with protein product	Approved	11q14.1	11q14.1	"PTD015|FLJ21035|CK067"		C11orf67	chromosome 11 open reading frame 67			2006-03-27	2012-10-08	2016-06-21	2023-01-20	28971	ENSG00000087884	OTTHUMG00000166651	uc058fuq.1	BC016854	NM_024684		Q9H7C9	22279136	MGI:1913523	RGD:1561459			620474																				HGNC:30205	"ENST00000393427.7|NM_024684.4"	
HGNC:18	AAMP	angio associated migratory cell protein	protein-coding gene	gene with protein product	Approved	2q35	02q35					WD repeat domain containing	362	1996-11-13		2015-12-08	2023-01-20	14	ENSG00000127837	OTTHUMG00000155202	uc002vhk.4	AB209790	NM_001087		Q13685	7743515	MGI:107809	RGD:1306281			603488																				HGNC:18	"ENST00000248450.9|NM_001087.5"	
HGNC:19	AANAT	aralkylamine N-acetyltransferase	protein-coding gene	gene with protein product	Approved	17q25.1	17q25.1	SNAT	serotonin N-acetyltransferase		arylalkylamine N-acetyltransferase	GCN5 related N-acetyltransferases	1134	1995-12-13		2010-05-07	2023-01-20	15	ENSG00000129673	OTTHUMG00000180179	uc002jro.4	U40347	NM_001088		Q16613	8661026	MGI:1328365	RGD:2006			600950					469884										2.3.1.87					HGNC:19	"ENST00000392492.8|NM_001088.3"	
HGNC:15886	AAR2	AAR2 splicing factor	protein-coding gene	gene with protein product	Approved	20q11.23	20q11.23	bA234K24.2		C20orf4	"chromosome 20 open reading frame 4|AAR2 splicing factor homolog (S. cerevisiae)|AAR2 splicing factor homolog"			2001-06-21	2012-07-20	2019-02-18	2023-01-20	25980	ENSG00000131043	OTTHUMG00000032380	uc002xfc.4		NM_015511	CCDS13273	Q9Y312	26527271	MGI:1915545	RGD:1311066			617365																				HGNC:15886	"ENST00000320849.9|NM_001271874.2"	HGNC:15886
HGNC:33842	AARD	alanine and arginine rich domain containing protein	protein-coding gene	gene with protein product	Approved	8q24.11	08q24.11	LOC441376	Alanine and arginine-rich domain-containing protein	C8orf85	chromosome 8 open reading frame 85			2009-01-23	2012-04-19	2012-04-19	2023-01-20	441376	ENSG00000205002	OTTHUMG00000164961	uc003yof.4	"AB181519|BC140924"	NM_001025357	CCDS34935	Q4LEZ3	27959439	MGI:2181621	RGD:631378			621042																				HGNC:33842	"ENST00000378279.4|NM_001025357.3"	
HGNC:20	AARS1	alanyl-tRNA synthetase 1	protein-coding gene	gene with protein product	Approved	16q22.1	16q22.1	"CMT2N|AlaRS"	alanine tRNA ligase 1, cytoplasmic	AARS	alanyl-tRNA synthetase	Aminoacyl tRNA synthetases, Class II	132	1995-07-11	2019-07-15	2019-07-15	2023-01-20	16	ENSG00000090861	OTTHUMG00000177042	uc002eyn.2	D32050	NM_001605	CCDS32474	P49588	8595897	MGI:2384560	RGD:1304832	LRG_359|http://ftp.ebi.ac.uk/pub/databases/lrgex/LRG_359.xml		601065					232194										6.1.1.7					HGNC:20	"ENST00000261772.13|NM_001605.3"	HGNC:20
HGNC:49894	AARS1P1	alanyl-tRNA synthetase 1 pseudogene 1	pseudogene	pseudogene	Approved	4q28.3	04q28.3			AARSP1	alanyl-tRNA synthetase pseudogene 1			2014-03-18	2019-07-15	2019-07-15	2020-04-20	106480683	ENSG00000249038	OTTHUMG00000161188			NG_043271														PGOHUM00000246081														HGNC:49894		
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	protein-coding gene	gene with protein product	Approved	6p21.1	06p21.1	"KIAA1270|bA444E17.1"	alanine tRNA ligase 2, mitochondrial	AARSL	"alanyl-tRNA synthetase like|alanyl-tRNA synthetase 2, mitochondrial (putative)"	Aminoacyl tRNA synthetases, Class II	132	2003-05-08	2007-02-23	2012-10-26	2023-01-20	57505	ENSG00000124608	OTTHUMG00000014766	uc010jza.2	AB033096	NM_020745	CCDS34464	Q5JTZ9	"15779907|21549344"	MGI:2681839	RGD:1310617			612035					269639										6.1.1.7					HGNC:21022	"ENST00000244571.5|NM_020745.4"	HGNC:21022
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1	protein-coding gene	gene with protein product	Approved	17q21.31	17q21.31	"MGC2744|AlaXp"						2005-11-15			2023-01-20	80755	ENSG00000266967	OTTHUMG00000153515	uc031raq.2	BC004172	NM_001261434	CCDS58552	Q9BTE6	26884463	MGI:1916934	RGD:1561650			613212																				HGNC:28417	"ENST00000427569.7|NM_001261434.2"	
HGNC:54994	AARSD1P1	AARSD1 pseudogene 1	pseudogene	pseudogene	Approved	Xq13.2	Xq13.2							2020-05-15			2020-11-24	117981788	ENSG00000234969				NG_070706														PGOHUM00000305150																
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase	protein-coding gene	gene with protein product	Approved	4q12	04q12	"NRPS998|LYS2|ACSF4"	"acyl-CoA synthetase family member 4|Beta-alanine-activating enzyme"			Acyl-CoA synthetase family	40	2007-10-17			2023-01-20	132949	ENSG00000157426	OTTHUMG00000128841	uc003hbn.5	AF516672	NM_181806		Q4L235	"15865210|12712191|17762044"	MGI:2442517	RGD:1311135			614365															1.2.1.31					HGNC:23993	"ENST00000205214.11|NM_181806.4"	
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	protein-coding gene	gene with protein product	Approved	11q22.3	11q22.3	"LYS5|CGI-80|AASD-PPT|ACPS"	"holo ACP synthase|holo-[acyl-carrier-protein] synthase"					2000-12-21			2023-01-20	60496	ENSG00000149313	OTTHUMG00000166253	uc001pjc.2	AF302110	NM_015423	CCDS31664	Q9NRN7	"12815048|11286508|18022563"	MGI:1914868	RGD:1311360			607756															2.7.8.7					HGNC:14235	"ENST00000278618.9|NM_015423.3"	
HGNC:58262	AASDHPPT-AS1	AASDHPPT antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	11q22.3	11q22.3					Antisense RNAs	1987	2025-01-27			2025-01-27		ENSG00000254433																																		
HGNC:17366	AASS	aminoadipate-semialdehyde synthase	protein-coding gene	gene with protein product	Approved	7q31.32	07q31.32	"LORSDH|LKRSDH|LKR/SDH"	"alpha-aminoadipic semialdehyde synthase|lysine ketoglutarate reductase/saccharopine dehydrogenase|saccharopine dehydrogenase (NAD(+), L-glutamate-forming)|saccharopine dehydrogenase (NADP(+), L-lysine-forming)"					2002-01-09			2024-06-14	10157	ENSG00000008311	OTTHUMG00000157058	uc003vkb.4	AF229180	NM_005763	CCDS5783	Q9UDR5	"10775527|36128717"	MGI:1353573	RGD:1310811			605113					123389										"1.5.1.8|1.5.1.9"					HGNC:17366	"ENST00000417368.7|NM_005763.4"	HGNC:17366
HGNC:51526	AATBC	apoptosis associated transcript in bladder cancer	non-coding RNA	RNA, long non-coding	Approved	21q22.3	21q22.3		apoptosis-associated transcript in bladder cancer			Long non-coding RNAs with non-systematic symbols	1992	2015-02-13			2023-03-15	284837	ENSG00000215458	OTTHUMG00000086882			NR_026961			25473900																						URS000075DB22	AATBC		HGNC:51526		
HGNC:19235	AATF	apoptosis antagonizing transcription factor	protein-coding gene	gene with protein product	Approved	17q12	17q12	"DED|CHE-1|CHE1|BFR2"				MicroRNA protein coding host genes	1691	2002-09-13			2023-01-20	26574	ENSG00000275700	OTTHUMG00000188458	uc002hni.3	AF083208	NM_012138		Q9NY61	"11027528|10783144"	MGI:1929608	RGD:620685			608463																				HGNC:19235	"ENST00000619387.5|NM_012138.4"	
HGNC:21	AATK	apoptosis associated tyrosine kinase	protein-coding gene	gene with protein product	Approved	17q25.3	17q25.3	"AATYK|KIAA0641|LMTK1|LMR1|AATYK1|PPP1R77"	"lemur tyrosine kinase 1|protein phosphatase 1, regulatory subunit 77"			"Receptor tyrosine kinases|Protein phosphatase 1 regulatory subunits|MicroRNA protein coding host genes"	"321|694|1691"	1999-09-16		2016-06-09	2023-01-20	9625	ENSG00000181409	OTTHUMG00000132717	uc010dia.4	AB014541	NM_004920		Q6ZMQ8	"9734811|10083745|22573681"	MGI:1197518	RGD:1590980			605276																				HGNC:21	"ENST00000326724.9|NM_001080395.3"	
HGNC:22	AAVS1	adeno-associated virus integration site 1	other	virus integration site	Approved	19q13	19q13	AAV						1990-09-10			2010-06-16	17				S51329				1334463					102699																						
HGNC:23	ABAT	4-aminobutyrate aminotransferase	protein-coding gene	gene with protein product	Approved	16p13.2	16p13.2	"GABAT|GABA-T"	"4-aminobutyrate transaminase|gamma-aminobutyrate aminotransferase|GABA transaminase"			Transaminases	3517	1996-03-13			2023-01-20	18	ENSG00000183044	OTTHUMG00000048201	uc002czc.5	L32961	NM_020686		P80404	7721088	MGI:2443582	RGD:620948			137150					117617										2.6.1.19					HGNC:23	"ENST00000268251.13|NM_020686.6"	HGNC:23
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	protein-coding gene	gene with protein product	Approved	9q31.1	09q31.1	TGD	Tangier disease	"ABC1|HDLDT1"	ATP-binding cassette, sub-family A (ABC1), member 1	ATP binding cassette subfamily A	805	2005-03-17		2015-11-13	2024-09-16	19	ENSG00000165029	OTTHUMG00000020417	uc004bcl.4	AJ012376	NM_005502	CCDS6762	O95477	"8088782|10431236|10431237|10431238"	MGI:99607	RGD:631344	LRG_542|http://ftp.ebi.ac.uk/pub/databases/lrgex/LRG_542.xml		600046					159528										7.6.2.1					HGNC:29	"ENST00000374736.8|NM_005502.4"	HGNC:29
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	protein-coding gene	gene with protein product	Approved	9q34.3	09q34.3			ABC2	ATP-binding cassette, sub-family A (ABC1), member 2	ATP binding cassette subfamily A	805	1994-03-16		2015-11-13	2023-01-20	20	ENSG00000107331	OTTHUMG00000020958	uc064xhf.1	U18235	NM_001606	"CCDS43909|CCDS94538|CCDS94539"	Q9BZC7	8088782	MGI:99606	RGD:620238			600047										objectId:757										HGNC:32	"ENST00000341511.11|NM_001606.5"	HGNC:32
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	protein-coding gene	gene with protein product	Approved	16p13.3	16p13.3	"ABC-C|EST111653|LBM180"		ABC3	ATP-binding cassette, sub-family A (ABC1), member 3	ATP binding cassette subfamily A	805	1996-08-08		2015-11-13	2024-09-16	21	ENSG00000167972	OTTHUMG00000128845	uc002cpy.2	U78735	NM_001089	CCDS10466	Q99758	8706931	MGI:1351617	RGD:1307174			601615					140560					objectId:758					7.6.2.1					HGNC:33	"ENST00000301732.10|NM_001089.3"	HGNC:33
HGNC:55707	ABCA3P1	ABCA3 pseudogene 1	pseudogene	pseudogene	Approved	16p12.2	16p12.2							2021-07-05			2021-07-05	342293	ENSG00000257408				NG_022511																														
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	protein-coding gene	gene with protein product	Approved	1p22.1	01p22.1	"FFM|ARMD2|CORD3"	Stargardt disease	"STGD1|ABCR|RP19|STGD"	"ATP-binding cassette transporter, retinal-specific|ATP-binding cassette, sub-family A (ABC1), member 4"	ATP binding cassette subfamily A	805	1994-07-14		2015-11-13	2024-09-16	24	ENSG00000198691	OTTHUMG00000010622	uc001dqh.4	U88667	NM_000350	CCDS747	P78363	9490294	MGI:109424	RGD:1309445	Mutations of the ATP-binding Cassette Transporter Retina|http://www.retina-international.org/files/sci-news/abcrmut.htm		601691					117623					objectId:759					7.6.2.1					HGNC:34	"ENST00000370225.4|NM_000350.3"	HGNC:34
HGNC:35	ABCA5	ATP binding cassette subfamily A member 5	protein-coding gene	gene with protein product	Approved	17q24.3	17q24.3	EST90625			ATP-binding cassette, sub-family A (ABC1), member 5	ATP binding cassette subfamily A	805	1999-10-26		2015-11-13	2023-01-20	23461	ENSG00000154265	OTTHUMG00000180303	uc002jig.3	U66672	NM_018672	CCDS11685	Q8WWZ7	8894702	MGI:2386607	RGD:628661			612503					404800					objectId:760										HGNC:35	"ENST00000392676.8|NM_172232.4"	HGNC:35
HGNC:36	ABCA6	ATP binding cassette subfamily A member 6	protein-coding gene	gene with protein product	Approved	17q24.2-q24.3	17q24.2-q24.3	EST155051			ATP-binding cassette, sub-family A (ABC1), member 6	"ATP binding cassette subfamily A|MicroRNA protein coding host genes"	"805|1691"	1999-10-26		2015-11-13	2023-01-20	23460	ENSG00000154262	OTTHUMG00000180258	uc002jhw.2	U66680	NM_080284	CCDS11683	Q8N139	8894702	MGI:1923434	RGD:1308998			612504										objectId:761										HGNC:36	"ENST00000284425.7|NM_080284.3"	
HGNC:37	ABCA7	ATP binding cassette subfamily A member 7	protein-coding gene	gene with protein product	Approved	19p13.3	19p13.3	ABCX			ATP-binding cassette, sub-family A (ABC1), member 7	ATP binding cassette subfamily A	805	1999-06-11		2015-11-13	2024-09-16	10347	ENSG00000064687	OTTHUMG00000167547	uc002lqw.5	AF328787	NM_019112	CCDS12055	Q8IZY2	"10873640|11435699|12917409"	MGI:1351646	RGD:1303134			605414										objectId:762					7.6.2.1					HGNC:37	"ENST00000263094.11|NM_019112.4"	HGNC:37
HGNC:38	ABCA8	ATP binding cassette subfamily A member 8	protein-coding gene	gene with protein product	Approved	17q24.2	17q24.2	KIAA0822			ATP-binding cassette, sub-family A (ABC1), member 8	ATP binding cassette subfamily A	805	1999-06-11		2015-11-13	2023-01-20	10351	ENSG00000141338	OTTHUMG00000180192	uc002jhq.5	AB020629	NM_007168		O94911	"12379217|23560799"	"MGI:1351668|MGI:2386846"	RGD:1307069			612505										objectId:763										HGNC:38	"ENST00000586539.6|NM_001288985.2"	
HGNC:39	ABCA9	ATP binding cassette subfamily A member 9	protein-coding gene	gene with protein product	Approved	17q24.2	17q24.2	EST640918			ATP-binding cassette, sub-family A (ABC1), member 9	ATP binding cassette subfamily A	805	1999-06-11		2015-11-13	2023-03-15	10350	ENSG00000154258	OTTHUMG00000140371	uc002jhu.4	AF423307	NM_172386	CCDS11681	Q8IUA7	12150964	MGI:2386796	RGD:1305931			612507										objectId:764										HGNC:39	"ENST00000340001.9|NM_080283.4"	
HGNC:39983	ABCA9-AS1	ABCA9 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	17q24.2	17q24.2				ABCA9 antisense RNA 1 (non-protein coding)	Antisense RNAs	1987	2011-04-20		2012-08-15	2014-11-19	104355297	ENSG00000231749	OTTHUMG00000140370	uc060jgk.1		NR_126414																									URS000018F63F	ABCA9-AS1		HGNC:39983		
HGNC:30	ABCA10	ATP binding cassette subfamily A member 10	protein-coding gene	gene with protein product	Approved	17q24.3	17q24.3	EST698739			ATP-binding cassette, sub-family A (ABC1), member 10	ATP binding cassette subfamily A	805	1999-06-11		2015-11-13	2023-01-20	10349	ENSG00000154263	OTTHUMG00000164716	uc010dfa.2	AY247065	NM_080282	CCDS11684	Q8WWZ4	"12821155|11435397"		RGD:1307333			612508					469886					objectId:765										HGNC:30	"ENST00000690296.1|NM_001377321.1"	
HGNC:31	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	pseudogene	pseudogene	Approved	4p16.3	04p16.3	"EST1133530|FLJ14297"		ABCA11	ATP-binding cassette, sub-family A (ABC1), member 11, pseudogene	ATP binding cassette subfamily A	805	1999-06-11	2008-09-09	2015-11-13	2023-03-15	79963	ENSG00000251595	OTTHUMG00000159884		AK024359	NR_002451.2														PGOHUM00000245425														HGNC:31		
HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	protein-coding gene	gene with protein product	Approved	2q35	02q35	"DKFZP434G232|LI2"		ICR2B	"ichthyosis congenita II, lamellar ichthyosis B|ATP-binding cassette, sub-family A (ABC1), member 12"	ATP binding cassette subfamily A	805	2001-08-16		2015-11-13	2024-09-16	26154	ENSG00000144452	OTTHUMG00000154801	uc002vew.3	AF418105	NM_173076	"CCDS33372|CCDS33373"	Q86UK0	"11435397|12915478|8845852|10094194"	MGI:2676312	RGD:1304586			607800					117620					objectId:766					7.6.2.1					HGNC:14637	"ENST00000272895.12|NM_173076.3"	HGNC:14637
